Word,Length,Age_Of_Acquisition,LDT
accuracy,8,9.71,615.97
accurate,8,9.44,728.242
accusation,10,10.17,819.0619999999999
accusations,11,10.17,763.7330000000001
accusative,10,13.33,1071.368
accuse,6,9.1,626.3639999999999
accused,7,9.1,661.9689999999999
accuses,7,9.1,758.7
accusing,8,9.1,743.545
accustom,8,12,751.48
ace,3,8.83,579.029
acerbic,7,16.62,829.889
aces,4,8.83,768.935
acetate,7,12.85,856.654
acetone,7,14.05,793.0419999999999
acetylene,9,16.88,1084
ache,4,5.79,631.655
ached,5,5.79,797.036
aches,5,5.79,683.7740000000001
achieve,7,8.53,702.818
achieved,8,8.53,700.094
achievement,11,8.8,746.676
achievements,12,8.8,700.3639999999999
achieves,8,8.53,757.226
achieving,9,8.53,657.1669999999999
acid,4,9.6,615.6880000000001
acidic,6,11.21,753.8459999999999
acidity,7,12.78,738.6669999999999
acids,5,9.6,636.75
acknowledge,11,9.11,771.375
acknowledged,12,9.11,810.853
acknowledgement,15,9.95,735.759
acknowledges,12,9.11,951.515
acknowledging,13,9.11,857.8119999999999
acknowledgment,14,9.95,850.6669999999999
acknowledgments,15,9.95,917.357
acme,4,9.54,772
acne,4,11.4,627.938
acolyte,7,13.77,731.182
acorn,5,5.95,721.963
acorns,6,5.95,735.0669999999999
acoustic,8,12.39,793.438
acoustical,10,12.9,855.69
acoustics,9,11.32,789.033
acquaint,8,9.11,858.7330000000001
acquaintance,12,10.48,807.4519999999999
acquiesce,9,14.25,881.8419999999999
acquiesced,10,14.25,934.5
acquiescence,12,13.61,927.75
acquiescent,11,14.18,714
acquire,7,9.94,673.939
acquired,8,9.94,710
acquires,8,9.94,748.424
acquiring,9,9.94,731.742
acquisition,11,13.63,785.594
acquisitions,12,13.63,779.121
acquisitive,11,14.19,908.643
acquisitiveness,15,14.38,1216.812
acquit,6,13.22,832.4399999999999
acquittal,9,12.39,905.538
acquitted,9,13.22,802.0609999999999
acre,4,9.8,723
acreage,7,13.13,1018
acres,5,9.8,679.03
acrid,5,14.07,762.2940000000001
acrimonious,11,16.3,1115.4550000000002
acrimony,8,14.75,784.5
acrobat,7,8.05,755.879
acrobatic,9,9.38,832.7810000000001
acrobatics,10,9,958.933
acrobats,8,8.05,715.182
acronym,7,11.56,831.333
Acropolis,9,15.4,905
across,6,6.637,589.471
acrylic,7,11.56,782.8119999999999
act,3,6.42,635.182
acted,5,6.42,652.758
acting,6,6.42,584.8119999999999
action,6,6.67,564.125
actions,7,6.67,643.75
activate,8,11.11,657.353
activated,9,11.11,752.125
activating,10,11.11,700.471
activation,10,9.78,806.543
active,6,6.53,632.743
activism,8,11.89,653.091
activist,8,11.8,697.6880000000001
activities,10,6.47,713.2669999999999
activity,8,6.47,714.8389999999999
actor,5,7.17,539.97
actors,6,7.17,647.871
actress,7,6.17,687.529
actresses,9,6.17,860.758
acts,4,6.42,590.343
actual,6,6.94,623.324
actualities,11,12.38,833.8569999999999
actuality,9,12.38,829
actually,8,7.33,647.2730000000001
actuary,7,17.27,711.6669999999999
acuity,6,13.88,862.4669999999999
acupuncture,11,11.79,853.2
acute,5,11.6,649.529
acuteness,9,12.95,874.4689999999999
ad,2,8.22,740.939
adage,5,16.21,769.8459999999999
adamant,7,14.29,823
adapt,5,9,660.3639999999999
adaptability,12,11.65,893.607
adaptable,9,9.37,899.621
adaptation,10,11.39,804.5
adaptations,11,11.39,825.938
adapted,7,9,684.818
adapter,7,11.79,813.5880000000001
adapting,8,9,754.3639999999999
add,3,5.1,657.545
added,5,5.1,644
addendum,8,15.65,936.312
adder,5,12.13,732
addict,6,11.17,600.903
addicted,8,11.17,661.727
addiction,9,12.11,628.2860000000001
addicts,7,11.17,722.9689999999999
adding,6,5.1,648.3639999999999
addition,8,5.763,601.69
additional,10,9,678.939
additions,9,5.763,718.515
additive,8,12.28,711.3549999999999
additives,9,12.28,782.394
addle,5,13.08,1107.125
address,7,5.15,582.303
addressed,9,5.15,673.314
addressee,9,9.95,944.864
addresses,9,5.15,757.7740000000001
addressing,10,5.15,689.758
adds,4,5.1,632.206
adduce,6,13,748.6669999999999
adept,5,12.5,759.2080000000001
adequacy,8,12.5,780.643
adequate,8,10.35,674.6880000000001
adhere,6,10.78,720.6669999999999
adhered,7,10.78,781.909
adherence,9,12.22,880.56
adherent,8,14.17,823.792
adherents,9,14.17,912.074
adheres,7,10.78,822.8209999999999
adhesion,8,13.5,912.417
adhesive,8,9.17,787.212
adhesives,9,9.17,766.379
adipose,7,15.7,887.3569999999999
adjacent,8,11.05,748.121
adjective,9,8.6,671.3549999999999
adjectives,10,8.6,749.8439999999999
adjoining,9,11.85,809.742
adjourn,7,12.59,733.6669999999999
adjourned,9,12.59,890.548
adjournment,11,14.26,977.607
adjourns,8,12.59,863
adjudge,7,15.2,784.6
adjudged,8,15.2,878.2730000000001
adjudicate,10,15.25,1062.1899999999998
adjudication,12,16.33,975.562
adjunct,7,13.06,758.2
adjure,6,13.1,817.095
adjust,6,8.43,656
adjustable,10,8.95,725.2730000000001
adjusted,8,8.43,687.235
adjusting,9,8.43,721.333
adjustment,10,9.74,652.414
adjustments,11,9.74,788.226
adjusts,7,8.43,748.886
administer,10,9.42,832.742
administered,12,9.42,772.1880000000001
administering,13,9.42,850.8459999999999
administers,11,9.42,852.545
administration,14,11.11,954.273
administrative,14,11.5,1009.933
administrator,13,12.22,883.529
administrators,14,12.22,824.0669999999999
admirable,9,11.42,807.9689999999999
admiral,7,8.72,705.938
admirals,8,8.72,779.226
admiralty,9,11.41,936.35
admiration,10,8.95,857.828
admire,6,7.42,621.029
admired,7,7.42,699.212
admirer,7,8.78,891.613
admirers,8,8.78,744.636
admires,7,7.42,594.8389999999999
admiring,8,7.42,659.226
admissible,10,13.1,895.9659999999999
admission,9,8.84,694.706
admissions,10,8.84,685.875
admit,5,7.56,574.6469999999999
admits,6,7.56,636.7740000000001
admittance,10,10.39,743.2730000000001
admitted,8,7.56,774.394
admitting,9,7.56,698.9169999999999
admonish,8,13.4,780.591
admonished,10,13.4,947.923
admonition,10,13.86,904.15
admonitions,11,13.86,869.4209999999999
ado,3,11.88,829.235
adobe,5,12.22,770.2330000000001
adolescence,11,10.42,695.0619999999999
adolescent,10,11.05,780.129
adolescents,11,11.05,703.4409999999999
adopt,5,7.83,614.4119999999999
adopted,7,7.83,649.758
adopting,8,7.83,630.333
adoption,8,7.79,687.848
adopts,6,7.83,696.471
adorable,8,6.94,787.0609999999999
adoration,9,11.8,801.2
adore,5,7.95,737.545
adored,6,7.95,677.6880000000001
adores,6,7.95,722.258
adorn,5,11.65,732.6
adorned,7,11.65,729.444
adornment,9,12.32,965.5
adorns,6,11.65,792.0369999999999
adrenal,7,14.24,867.222
adrenalin,9,11.65,858.9599999999999
adrift,6,11.21,835.3209999999999
adroit,6,12.75,884.7780000000001
adroitness,10,15.21,885.818
ads,3,8.22,675.4
adulation,9,12.72,942.421
adult,5,4.68,546.303
adulterant,10,12.86,955.059
adulterate,10,13.76,1083.3909999999998
adulterer,9,11.63,969.72
adulterers,10,11.63,923.704
adulteress,10,12.22,854.654
adulterous,10,11.65,933.2
adultery,8,11.84,586.697
adulthood,9,9.95,639.697
adults,6,4.68,561.531
advance,7,8.35,626.656
advanced,8,9.05,637.324
advancement,11,10.89,633.7710000000001
advancements,12,10.89,907.242
advances,8,8.35,671.4119999999999
advantage,9,9.32,662.938
advantageous,12,12.62,993.679
advantages,10,9.32,778.1519999999999
advent,6,10.38,681.879
adventure,9,5.67,631.226
adventurers,11,7.79,870.613
adventures,10,5.67,761.1519999999999
adventurous,11,10,916.207
adverb,6,8.14,679.618
adverbial,9,13.14,911.375
adverbs,7,8.14,761.206
adversaries,11,12.67,852.533
adversary,9,12.67,790.0319999999999
adverse,7,10.72,642.9409999999999
adversity,9,11.79,752.375
advert,6,14.22,768.5619999999999
advertise,9,9.63,667.424
advertised,10,9.63,723.029
advertisement,13,7.67,798.939
advertisements,14,7.67,839.677
advertiser,10,11,931.839
advertisers,11,11,872.636
advertises,10,9.63,936.156
advertising,11,9.95,850.212
advice,6,8.61,599.5880000000001
advisable,9,10.75,850.2
advise,6,8.89,726.8619999999999
advised,7,8.89,685.743
advisement,10,12.5,832.741
adviser,7,10.78,666.2
advisers,8,10.78,750.182
advises,7,8.89,760.2330000000001
advising,8,8.89,632.242
advisor,7,11.24,635.6469999999999
advisors,8,11.24,667.2730000000001
advisory,8,11.55,647.259
advocacy,8,14.06,708.8619999999999
advocate,8,11.11,621.8119999999999
advocated,9,11.11,724.4669999999999
advocates,9,11.11,641.091
advocating,10,11.11,785.229
aerate,6,13.44,954.714
aeration,8,12.35,1068.222
aerial,6,11.5,828.333
aerials,7,11.5,799.8259999999999
aerobic,7,10.24,721.0609999999999
aerodynamic,11,13.4,1020.769
aeronaut,8,12.92,1022.158
aeronautical,12,14.35,948.217
aeronautics,11,12.35,984.692
aerosol,7,9.47,812.97
aerosols,8,9.47,783.731
aerospace,9,12.06,883.6
aesthetic,9,15.74,898.8119999999999
aesthetics,10,15.06,803.414
afar,4,8.215,755.963
affable,7,13.4,779.111
affair,6,10.94,636.606
affairs,7,10.94,668.727
affect,6,9.6,663.258
affectation,11,13.82,890.304
affected,8,9.6,748.387
affecting,9,9.6,747.3569999999999
affection,9,8.53,695.9
affectionate,12,8.5,926.033
affections,10,8.53,790.219
affects,7,9.6,656.6669999999999
affidavit,9,15.69,925.938
affidavits,10,15.69,953.083
affiliate,9,12,813.3439999999999
affiliated,10,12,794.8059999999999
affiliates,10,12,870.3
affiliation,11,12.28,855.3549999999999
affiliations,12,12.28,753.5
affinity,8,12.22,799.889
affirm,6,12.24,687.8119999999999
affirmation,11,12.56,759.406
affirmations,12,12.56,767.903
affirmative,11,10.67,769.6880000000001
affirmed,8,12.24,759.129
affirming,9,12.24,743.516
affirms,7,12.24,773.727
affix,5,11.94,781.1030000000001
afflict,7,11.5,693.545
affliction,10,11.32,731.625
afflictions,11,11.32,817.9659999999999
affluence,9,13.88,747.654
affluent,8,13.16,747.935
afford,6,7.47,694.576
afforded,8,7.47,797.8569999999999
affording,9,7.47,781.4549999999999
