Pcp,Group,Product,ICAR,AQScore,Age,Gender,Residence,Choice
R_1BrCtKxdchwWxCt,NT,apartment,5,74,36,Male,US,Consistent
R_1MITG1QmIB8jK5L,NT,apartment,13,74,44,Female,UK,Inconsistent
R_1RiW8UcnfHpfGnP,NT,apartment,7,80,64,Male,UK,Consistent
R_1TCJwq2cY3bxrff,NT,apartment,3,53,44,Female,UK,Inconsistent
R_1yTYjTnoHm9vrGR,NT,apartment,13,74,63,Male,US,Consistent
R_23ODRujnv4ASS9f,NT,apartment,9,74,55,Male,UK,Inconsistent
R_23OTFr7TtgtcFaB,NT,apartment,4,60,68,Male,UK,Consistent
R_23ThTo5c0yjV3tH,NT,apartment,5,58,21,Female,UK,Inconsistent
R_2fTfCIDMyKf3xKB,NT,apartment,7,83,37,Male,US,Inconsistent
R_2mAGwkJ2IgIDWcd,NT,apartment,12,76,48,Male,UK,Consistent
R_2nTwuBnvXHOVEY5,NT,apartment,10,89,49,Female,UK,Consistent
R_2sMCz4dPk89ll2J,NT,apartment,8,51,25,Female,UK,Consistent
R_2u81jhZym8EVfZH,NT,apartment,4,47,25,Female,UK,Consistent
R_39kb2G7bRHMPzkV,NT,apartment,2,55,41,Female,UK,Consistent
R_39mEeyLCrcEWblP,NT,apartment,8,65,48,Female,UK,Inconsistent
R_39shd1wXYKR3bpP,NT,apartment,10,59,32,Female,UK,Consistent
R_3fpGETKWPDkLgHj,NT,apartment,16,70,43,Male,US,Consistent
R_3JlRxsdAUKdYggl,NT,apartment,7,58,48,Male,UK,Consistent
R_3lR0llkaHXMj2PX,NT,apartment,6,79,27,Female,UK,Consistent
R_3OA5z8WFBRKqqwd,NT,apartment,4,62,68,Female,UK,Consistent
R_3ra0nlKIliJy0DP,NT,apartment,3,67,36,Female,UK,Consistent
R_3RajyGZywZJGsp7,NT,apartment,8,63,44,Male,UK,Consistent
R_3sC8iGWg1VwIuhf,NT,apartment,5,69,46,Female,UK,Consistent
R_3wwJcSyVjKIPXo1,NT,apartment,8,62,52,Male,UK,Inconsistent
R_40mCyQCoW1lRWip,NT,apartment,6,64,36,Female,UK,Inconsistent
R_41p690489suElvL,NT,apartment,7,82,47,Male,UK,Consistent
R_41tJFzH1JCSkpCd,NT,apartment,13,49,20,Female,UK,Consistent
R_42yYUL1P0f0x82N,NT,apartment,4,67,41,Female,UK,Consistent
R_4GhbsHF0JEhhQjP,NT,apartment,5,66,43,Female,UK,Consistent
R_4HGSEvcyRBZyVO5,NT,apartment,6,57,62,Male,US,Consistent
R_4I1gPe0nybMmtZX,NT,apartment,3,60,50,Female,US,Consistent
R_4I4nUvjuX8sGRyB,NT,apartment,14,68,51,Male,UK,Consistent
R_4Mzk3wYqzYrOFKZ,NT,apartment,6,59,39,Male,US,Consistent
R_4PjHlORT2VJHoQl,NT,apartment,11,75,44,Female,UK,Consistent
R_4SMp2xXyWjZu4T3,NT,apartment,9,82,21,Female,UK,Inconsistent
R_4TSariNZ47GJz49,NT,apartment,3,52,64,Male,UK,Inconsistent
R_4ZNjOv3tgmFmoGV,NT,apartment,2,74,58,Female,UK,Inconsistent
R_50aE1BhdWOuhNmR,NT,apartment,11,67,50,Female,UK,Consistent
R_560x7EUVoioULzL,NT,apartment,4,90,57,Male,UK,Consistent
R_56y2diF0eHhnYB7,NT,apartment,10,88,43,Female,UK,Inconsistent
R_56ZKI9rzLt2l40Z,NT,apartment,4,65,36,Female,UK,Inconsistent
R_5ASVxeqTA6rB2FD,NT,apartment,5,69,31,Female,US,Consistent
R_5Axjoi3dwzIxPMx,NT,apartment,15,62,25,Female,UK,Consistent
R_5bUxBfMsIeiykIt,NT,apartment,7,65,42,Male,UK,Inconsistent
R_5cHR2RpyJkRgT89,NT,apartment,5,63,47,Female,UK,Inconsistent
R_5clNGnL7C1mcGwt,NT,apartment,2,63,22,Male,UK,Consistent
R_5hVUvZcb82Vs59P,NT,apartment,3,73,28,Female,UK,Inconsistent
R_5jUmzHkIERXao17,NT,apartment,9,60,57,Female,UK,Consistent
R_5mQke6cE96217jn,NT,apartment,3,66,42,Female,UK,Inconsistent
R_5py1sGpjN3p8dTL,NT,apartment,9,64,40,Male,UK,Inconsistent
R_5vzbDaSF9BJ24XH,NT,apartment,7,61,52,Male,UK,Inconsistent
R_5zqv4TSafDMtnp3,NT,apartment,12,65,40,Female,UK,Inconsistent
R_6DcyoWFFKmvgWQR,NT,apartment,13,69,40,Female,UK,Consistent
R_6EC5ADdlvOy7IQR,NT,apartment,7,47,40,Male,US,Consistent
R_6ET5egD1xKYuDsN,NT,apartment,3,51,47,Female,US,Inconsistent
R_6Eulk5PT0xKNTEx,NT,apartment,6,67,45,Male,UK,Inconsistent
R_6ExXoROFpgskycl,NT,apartment,3,78,43,Male,US,Inconsistent
R_6EZowpGiPQRXj5H,NT,apartment,11,80,45,Female,UK,Consistent
R_6fMviNIXyDCJn3T,NT,apartment,10,67,38,Male,UK,Inconsistent
R_6gIBy9OcjdZDMNf,NT,apartment,2,64,63,Female,US,Consistent
R_6hbwoIfQryPKVGl,NT,apartment,4,55,36,Male,US,Consistent
R_6hPcMYJ8cmXTLil,NT,apartment,7,57,20,Female,UK,Inconsistent
R_6JqCdD2dX1lLKbb,NT,apartment,10,81,62,Male,UK,Consistent
R_6KyVNcJW3RxZR5j,NT,apartment,13,58,26,Female,UK,Inconsistent
R_6lBx99rHdyEn2cJ,NT,apartment,4,58,45,Female,UK,Inconsistent
R_6lHU0EmRrpQOUId,NT,apartment,4,60,30,Male,UK,Consistent
R_6rK513V77aZQynr,NT,apartment,1,71,46,Female,US,Consistent
R_6rRWu2Eam4gyrt3,NT,apartment,13,63,27,Female,UK,Consistent
R_6u2DBLxLnZEvwnH,NT,apartment,7,63,25,Male,UK,Consistent
R_6Xpe9z1SGyrCO7H,NT,apartment,15,65,59,Male,UK,Inconsistent
R_6y5EiYLl1G7LCuh,NT,apartment,2,73,59,Female,UK,Inconsistent
R_6yzyHF79bh62NtH,NT,apartment,7,64,23,Female,UK,Inconsistent
R_6zMVMtwaq3yjAOh,NT,apartment,8,64,63,Male,UK,Consistent
R_71IIqF0hl8l8Zrn,NT,apartment,9,54,54,Male,UK,Inconsistent
R_74EkHEwtoibn2FT,NT,apartment,8,72,24,Female,UK,Consistent
R_79g0I7hlCE08dqB,NT,apartment,9,53,19,Female,UK,Consistent
R_7NG04gFw9cGua7r,NT,apartment,5,60,69,Male,UK,Inconsistent
R_7QVTFm93JgMBeHH,NT,apartment,15,79,37,Male,UK,Consistent
R_7R4q4dD5xpmq7cN,NT,apartment,5,64,42,Female,UK,Consistent
R_7TCLTEWSL32XAxL,NT,apartment,7,53,55,Male,UK,Consistent
R_7U1WILAKiZVnj5H,NT,apartment,6,51,35,Female,UK,Inconsistent
R_80Q807VstbAPQxf,NT,apartment,11,73,35,Female,UK,Inconsistent
R_819k81hdiiC4JzT,NT,apartment,9,76,55,Male,UK,Inconsistent
R_82JuYZ3gsGMYfOJ,NT,apartment,4,65,46,Male,UK,Inconsistent
R_86cEEFevntU7oFL,NT,apartment,5,63,50,Female,UK,Inconsistent
R_87gwXF3d6NjCIEB,NT,apartment,4,56,49,Male,US,Consistent
R_88hbJef1ThGbR4N,NT,apartment,8,65,68,Male,UK,Consistent
R_88uDiASsUH2rPMh,NT,apartment,6,74,44,Female,UK,Consistent
R_8A15yrwTGLzFiNT,NT,apartment,5,60,64,Male,UK,Inconsistent
R_8Asa1PXufWzSzwp,NT,apartment,2,46,56,Female,UK,Consistent
R_8B6MtTTx28xVFuR,NT,apartment,6,68,44,Male,UK,Consistent
R_8cCRxT6vK6qjWpD,NT,apartment,4,58,52,Male,UK,Inconsistent
R_8cw2j4wjF1rVXNj,NT,apartment,5,47,41,Male,UK,Inconsistent
R_8djGTs6rmeDVOfj,NT,apartment,3,49,51,Female,UK,Consistent
R_8H6DxroE4BOk8Tj,NT,apartment,10,63,61,Male,US,Consistent
R_8i934G5AcFvLWxD,NT,apartment,6,63,46,Female,UK,Inconsistent
R_8IcaI2DNEX0h9M9,NT,apartment,4,61,43,Female,UK,Inconsistent
R_8ICGT51jvLlPzA9,NT,apartment,14,60,69,Male,UK,Consistent
R_8jrYISOot7EQKa1,NT,apartment,3,67,46,Female,UK,Inconsistent
R_8kLEEhX9bAF6kcd,NT,apartment,11,61,20,Female,UK,Inconsistent
R_8kRE8z2zsHIXoNv,NT,apartment,3,73,33,Female,UK,Inconsistent
R_8kvWw2R7UN05ADH,NT,apartment,4,66,32,Female,UK,Inconsistent
R_8kzQYs2w6V4vHgN,NT,apartment,5,66,33,Female,UK,Consistent
R_8nRZS5tb8eY3NOt,NT,apartment,7,64,28,Female,UK,Inconsistent
R_8oyxlC6XhwYO8m1,NT,apartment,11,87,20,Female,UK,Consistent
R_8tRi3fKu1BT3YuV,NT,apartment,4,65,44,Male,UK,Inconsistent
R_8tYshBbex83wJWR,NT,apartment,3,56,47,Male,UK,Consistent
R_8uCzQgUUQSytTBr,NT,apartment,3,45,61,Male,UK,Consistent
R_9EmAXKjNA48xwyN,NT,apartment,9,68,45,Male,US,Consistent
R_9EtO6CX6gj2YfCl,NT,apartment,14,73,46,Female,UK,Consistent
R_9FQHRQkIVW7W6YB,NT,apartment,16,57,44,Female,UK,Consistent
R_9GqiXFaK8I2Fboh,NT,apartment,4,88,51,Male,UK,Consistent
R_9Lw0dEeZPKZp1sh,NT,apartment,10,65,27,Female,UK,Consistent
R_9LZlMoQ7XcBdzBX,NT,apartment,11,83,22,Female,UK,Consistent
R_9n9aaBTjkOcr3WB,NT,apartment,3,59,47,Female,US,Consistent
R_9nReyz4svet3dad,NT,apartment,7,70,44,Female,US,Consistent
R_9nsQq40g5IdqSEt,NT,apartment,15,70,37,Female,UK,Inconsistent
R_9NxLyAbKCqoCN8x,NT,apartment,6,54,44,Male,US,Consistent
R_9oQsklJ6x29CVSd,NT,apartment,14,73,65,Female,UK,Inconsistent
R_9pIU41p8DHDlOeh,NT,apartment,9,56,48,Male,UK,Consistent
